Hidden Dim,Learning Rate,Momentum,Minibatch Size,Epochs
80,0.01,0.9,16,50
Best Val Loss,0.8295985585451127

Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Best
1,0.9926603256464005,0.53625,0.9636931359767914,0.53,
2,0.8905265098810196,0.583375,0.848414289355278,0.57875,
3,0.8269273399114608,0.611875,0.8922850382328034,0.585,
4,0.7814244757890701,0.638375,1.0437320536375045,0.5325,
5,0.7469659203886986,0.66275,0.8295985585451127,0.60375,*
6,0.7063590850830078,0.682875,0.9103547275066376,0.5825,
7,0.6476762918233872,0.714625,1.0266722071170806,0.545,
8,0.6223465283215046,0.7315,0.9430712616443634,0.5875,
