Hidden Dim,Learning Rate,Momentum,Minibatch Size,Epochs
10,0.01,0.9,16,50
Best Val Loss,0.8724721619486808

Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Best
1,1.0124464939832687,0.513,0.9529599297046661,0.55875,
2,0.9065704663991928,0.5645,0.8964398849010468,0.55375,
3,0.8378133419156074,0.598375,0.893135576248169,0.5625,
4,0.789604900598526,0.627,0.8724721619486808,0.59625,*
5,0.7596034496426582,0.64075,0.9024127775430679,0.57,
6,0.7037983915805817,0.6765,0.9002384358644485,0.555,
7,0.6724669482111931,0.700625,0.8999590051174163,0.5675,
