Hidden Dim,Learning Rate,Momentum,Minibatch Size,Epochs
20,0.01,0.9,16,50
Best Val Loss,0.8508274871110916

Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Best
1,0.9910656011104584,0.53625,0.9804894465208054,0.52875,
2,0.8813335059285163,0.5845,0.8554216784238815,0.58,
3,0.8193121708035469,0.6185,0.8956751197576522,0.565,
4,0.771717212677002,0.644875,0.9044350218772889,0.57875,
5,0.7409628499150276,0.657875,0.8508274871110916,0.59125,*
6,0.6899843175411224,0.687125,0.8516501832008362,0.6125,
7,0.6446065818667411,0.714875,1.1933561253547669,0.51875,
8,0.6259544629454613,0.73125,0.9191959190368653,0.5775,
