Hidden Dim,Learning Rate,Momentum,Minibatch Size,Epochs
320,0.01,0.9,16,50
Best Val Loss,0.8491390055418014

Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Best
1,0.9923754297494888,0.533625,0.9430134177207947,0.535,
2,0.8835102883577347,0.587375,0.8491390055418014,0.5825,*
3,0.8151440338492394,0.618375,0.8995356631278991,0.57,
4,0.7691132627129554,0.647125,0.9031808024644852,0.5775,
5,0.7375497252345086,0.6625,0.9385233682394027,0.5925,
