Hidden Dim,Learning Rate,Minibatch Size,Epochs
40,0.01,16,200
Best Val Loss,0.9288850123294106

Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Best
1,2.8147780895233154,0.4785,1.310212341747357,0.51,
2,1.1552069187164307,0.508,1.0048641185578573,0.49,
3,1.164341688156128,0.486875,0.9288850123294106,0.57125,*
4,1.2257020473480225,0.480625,1.392409881240892,0.35875,
5,1.0904297828674316,0.49875,1.3098328562810229,0.4575,
6,1.1689448356628418,0.487375,1.0310463954810984,0.47375,
