Hidden Dim,Learning Rate,Minibatch Size,Epochs
20,0.01,16,200
Best Val Loss,0.9739917741512181

Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Best
1,2.3448755741119385,0.463375,1.0953832428514352,0.5525,
2,1.221941351890564,0.499125,1.53254380707113,0.48625,
3,1.215269923210144,0.50225,0.9739917741512181,0.56,*
4,1.1409528255462646,0.502125,1.691236070259356,0.27875,
5,1.1860501766204834,0.492375,1.649446113593647,0.47,
6,1.9595527648925781,0.4545,2.1923224766019245,0.405,
