Hidden Dim,Learning Rate,Minibatch Size,Epochs
80,0.01,16,200
Best Val Loss,1.0172493999963625

Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Best
1,10.51124095916748,0.39075,1.3408487733930814,0.50625,
2,1.5025502443313599,0.447875,1.8819255757002793,0.44375,
3,1.575352430343628,0.473625,1.0843010976115692,0.51375,
4,1.9153013229370117,0.451375,1.415845429104468,0.44,
5,1.7949743270874023,0.45,1.367559219715331,0.4375,
6,1.0907626152038574,0.486375,1.0172493999963625,0.495,*
7,7.075165748596191,0.441375,1.8122998082950152,0.50375,
8,3.8119449615478516,0.428375,3.0726390235710372,0.4175,
9,2.5159411430358887,0.435125,2.069574374490308,0.415,
